Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
135,P4605,00CN,Birmingham,WEST MIDLANDS,406,461,273,177,61,68,62,"1,102",2.7,95,440,492,"2,129",70,83,149,424,0,726,1.8,918
199,U5360,00AM,Hackney,LONDON,90,85,91,11,1,21,10,219,2.4,27,61,60,367,39,424,92,641,100,"1,296",14.4,0
151,B0230,00KA,Luton UA,EAST of ENGLAND,73,69,39,43,5,2,1,159,2.2,4,1,115,279,45,0,15,523,0,583,8,0
109,H2835,34UH,Wellingborough,EAST MIDLANDS,32,45,1,1,1,0,0,48,1.5,2,12,25,87,4,0,0,30,0,34,1.1,20
201,Y5420,00AP,Haringey,LONDON,98,31,61,14,9,33,2,150,1.5,16,12,25,203,11,151,56,2274,802,"3,294",33.6,--
136,U4610,00CQ,Coventry,WEST MIDLANDS,127,103,28,10,8,6,21,176,1.4,32,137,72,417,31,0,0,0,1,32,0.3,18
216,L5240,00AH,Croydon,LONDON,146,59,83,13,14,8,20,197,1.4,20,66,254,537,147,9,541,443,338,"1,478",10.1,0
107,V2825,34UF,Northampton,EAST MIDLANDS,90,59,5,3,4,0,44,115,1.3,20,16,7,158,15,0,12,0,0,27,0.3,0
236,Z1775,00MR,Portsmouth UA,SOUTH EAST,83,95,9,0,1,4,0,109,1.3,15,8,6,138,7,0,0,35,23,65,0.8,20
70,U4420,00CG,Sheffield,YORKSHIRE AND THE HUMBER,230,184,23,16,12,14,24,273,1.2,20,343,161,797,10,0,181,0,0,191,0.8,112
145,D1835,47UE,Worcester,WEST MIDLANDS,40,45,0,0,1,1,0,47,1.2,3,88,7,145,18,0,15,0,17,50,1.3,0
180,Y1945,26UK,Watford,EAST of ENGLAND,34,27,10,1,4,0,0,42,1.2,2,1,4,49,6,49,30,0,1,86,2.5,0
200,H5390,00AN,Hammersmith and Fulham,LONDON,76,31,34,8,6,11,0,90,1.2,8,14,7,119,51,6,150,672,9,888,11.7,14
202,V5570,00AU,Islington,LONDON,87,47,37,6,7,6,1,104,1.2,6,94,107,311,11,75,0,441,373,900,10.3,--
203,K5600,00AW,Kensington and Chelsea,LONDON,85,42,26,7,9,12,2,98,1.2,20,130,83,331,116,68,0,978,0,"1,162",13.7,0
208,E5900,00BG,Tower Hamlets,LONDON,93,25,18,69,2,0,0,114,1.2,33,6,38,191,73,0,154,1562,0,"1,789",19.2,0
229,U5930,00BH,Waltham Forest,LONDON,91,32,42,21,7,7,4,113,1.2,23,102,182,420,23,37,79,639,323,"1,101",12.1,16
263,E2205,29UB,Ashford,SOUTH EAST,46,49,4,1,0,0,0,54,1.2,4,2,22,82,17,0,15,73,0,105,2.3,13
79,Q3060,00FY,Nottingham UA,EAST MIDLANDS,129,82,29,13,11,5,3,143,1.1,24,5,12,184,0,85,5,0,0,90,0.7,59
204,N5660,00AY,Lambeth,LONDON,126,34,86,4,10,7,4,145,1.1,14,11,21,191,5,206,4,902,159,"1,276",10.1,269
205,C5690,00AZ,Lewisham,LONDON,115,--,--,--,--,--,--,131,1.1,--,--,--,--,--,--,--,--,--,924,8,0
209,H5960,00BJ,Wandsworth,LONDON,126,44,55,17,9,9,3,137,1.1,14,32,201,384,81,143,158,42,1,425,3.4,18
12,A4520,00CL,South Tyneside,NORTH EAST,68,62,1,1,1,0,0,65,1,7,0,22,94,17,0,10,0,0,27,0.4,38
56,V2004,00FA,Kingston upon Hull City of UA,YORKSHIRE AND THE HUMBER,115,108,3,1,0,2,2,116,1,10,93,8,227,1,0,29,5,0,35,0.3,90
63,E2720,36UE,Richmondshire,YORKSHIRE AND THE HUMBER,20,18,1,0,0,0,0,19,1,3,5,5,32,0,15,1,3,0,19,1,32
