Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
135.00,P4605,00CN,Birmingham,WEST MIDLANDS,406.00,461.00,273.00,177.00,61.00,68.00,62.00,1102.00,2.70,95.00,440.00,492.00,2129.00,70.00,83.00,149.00,424.00,0.00,726.00,1.80,918.00
199.00,U5360,00AM,Hackney,LONDON,90.00,85.00,91.00,11.00,1.00,21.00,10.00,219.00,2.40,27.00,61.00,60.00,367.00,39.00,424.00,92.00,641.00,100.00,1296.00,14.40,0.00
151.00,B0230,00KA,Luton,EAST of ENGLAND,73.00,69.00,39.00,43.00,5.00,2.00,1.00,159.00,2.20,4.00,1.00,115.00,279.00,45.00,0.00,15.00,523.00,0.00,583.00,8.00,0.00
109.00,H2835,34UH,Wellingborough,EAST MIDLANDS,32.00,45.00,1.00,1.00,1.00,0.00,0.00,48.00,1.50,2.00,12.00,25.00,87.00,4.00,0.00,0.00,30.00,0.00,34.00,1.10,20.00
201.00,Y5420,00AP,Haringey,LONDON,98.00,31.00,61.00,14.00,9.00,33.00,2.00,150.00,1.50,16.00,12.00,25.00,203.00,11.00,151.00,56.00,2274.00,802.00,3294.00,33.60,--
136.00,U4610,00CQ,Coventry,WEST MIDLANDS,127.00,103.00,28.00,10.00,8.00,6.00,21.00,176.00,1.40,32.00,137.00,72.00,417.00,31.00,0.00,0.00,0.00,1.00,32.00,0.30,18.00
216.00,L5240,00AH,Croydon,LONDON,146.00,59.00,83.00,13.00,14.00,8.00,20.00,197.00,1.40,20.00,66.00,254.00,537.00,147.00,9.00,541.00,443.00,338.00,1478.00,10.10,0.00
107.00,V2825,34UF,Northampton,EAST MIDLANDS,90.00,59.00,5.00,3.00,4.00,0.00,44.00,115.00,1.30,20.00,16.00,7.00,158.00,15.00,0.00,12.00,0.00,0.00,27.00,0.30,0.00
236.00,Z1775,00MR,Portsmouth,SOUTH EAST,83.00,95.00,9.00,0.00,1.00,4.00,0.00,109.00,1.30,15.00,8.00,6.00,138.00,7.00,0.00,0.00,35.00,23.00,65.00,0.80,20.00
70.00,U4420,00CG,Sheffield,YORKSHIRE AND THE HUMBER,230.00,184.00,23.00,16.00,12.00,14.00,24.00,273.00,1.20,20.00,343.00,161.00,797.00,10.00,0.00,181.00,0.00,0.00,191.00,0.80,112.00
145.00,D1835,47UE,Worcester,WEST MIDLANDS,40.00,45.00,0.00,0.00,1.00,1.00,0.00,47.00,1.20,3.00,88.00,7.00,145.00,18.00,0.00,15.00,0.00,17.00,50.00,1.30,0.00
180.00,Y1945,26UK,Watford,EAST of ENGLAND,34.00,27.00,10.00,1.00,4.00,0.00,0.00,42.00,1.20,2.00,1.00,4.00,49.00,6.00,49.00,30.00,0.00,1.00,86.00,2.50,0.00
200.00,H5390,00AN,Hammersmith and Fulham,LONDON,76.00,31.00,34.00,8.00,6.00,11.00,0.00,90.00,1.20,8.00,14.00,7.00,119.00,51.00,6.00,150.00,672.00,9.00,888.00,11.70,14.00
202.00,V5570,00AU,Islington,LONDON,87.00,47.00,37.00,6.00,7.00,6.00,1.00,104.00,1.20,6.00,94.00,107.00,311.00,11.00,75.00,0.00,441.00,373.00,900.00,10.30,--
203.00,K5600,00AW,Kensington and Chelsea,LONDON,85.00,42.00,26.00,7.00,9.00,12.00,2.00,98.00,1.20,20.00,130.00,83.00,331.00,116.00,68.00,0.00,978.00,0.00,1162.00,13.70,0.00
208.00,E5900,00BG,Tower Hamlets,LONDON,93.00,25.00,18.00,69.00,2.00,0.00,0.00,114.00,1.20,33.00,6.00,38.00,191.00,73.00,0.00,154.00,1562.00,0.00,1789.00,19.20,0.00
